lambda suscetibilidade
1.400000000000000133e-01 2.483786774165341438e+00
1.402805611222444904e-01 2.220602676724411140e+00
1.405611222444889952e-01 2.134596576668188916e+00
1.408416833667334722e-01 2.266357944292538562e+00
1.411222444889779770e-01 1.977510585481635719e+00
1.414028056112224541e-01 2.064161458371805313e+00
1.416833667334669589e-01 2.237026871081181145e+00
1.419639278557114359e-01 2.356012435935128213e+00
1.422444889779559130e-01 2.556218886255635869e+00
1.425250501002004178e-01 3.115173016145295293e+00
1.428056112224448948e-01 2.484379489835984778e+00
1.430861723446893996e-01 2.512189656247884706e+00
1.433667334669338767e-01 2.185576956917937963e+00
1.436472945891783815e-01 2.452023112323697518e+00
1.439278557114228585e-01 2.144401720075272078e+00
1.442084168336673355e-01 3.318583136584285498e+00
1.444889779559118403e-01 3.033669000982769592e+00
1.447695390781563174e-01 2.179133827518308308e+00
1.450501002004008222e-01 2.863661069959557270e+00
1.453306613226452992e-01 2.688550780631723480e+00
1.456112224448898040e-01 1.988033947852918093e+00
1.458917835671342811e-01 2.358686019001893008e+00
1.461723446893787859e-01 2.526114652990461451e+00
1.464529058116232629e-01 2.408824360489053795e+00
1.467334669338677400e-01 2.272301254442117724e+00
1.470140280561122448e-01 2.959972736331204057e+00
1.472945891783567218e-01 2.491656765404941076e+00
1.475751503006012266e-01 2.808303816453805002e+00
1.478557114228457037e-01 2.733118829681366435e+00
1.481362725450902085e-01 3.393141728087999187e+00
1.484168336673346855e-01 3.013298139389751107e+00
1.486973947895791626e-01 2.754178178594050230e+00
1.489779559118236674e-01 2.600543102859577793e+00
1.492585170340681444e-01 2.986732636492253512e+00
1.495390781563126492e-01 3.996656103958713846e+00
1.498196392785571263e-01 3.352298696244533804e+00
1.501002004008016311e-01 2.733094717962469389e+00
1.503807615230461081e-01 5.403320724206031933e+00
1.506613226452905852e-01 2.872778074494964695e+00
1.509418837675350900e-01 3.379274851293737392e+00
1.512224448897795670e-01 3.291361348651910657e+00
1.515030060120240718e-01 3.097522986671146672e+00
1.517835671342685488e-01 4.133198041564668301e+00
1.520641282565130536e-01 2.955925584154487584e+00
1.523446893787575307e-01 2.850193988273224566e+00
1.526252505010020077e-01 3.421078224536834966e+00
1.529058116232465125e-01 3.233560216175369817e+00
1.531863727454909896e-01 4.374594920805958687e+00
1.534669338677354944e-01 3.104393488949485747e+00
1.537474949899799714e-01 2.539699357591413076e+00
1.540280561122244762e-01 3.144319414997266193e+00
1.543086172344689533e-01 2.740316393422795205e+00
1.545891783567134303e-01 2.464375831889394686e+00
1.548697394789579351e-01 3.923899035003058255e+00
1.551503006012024122e-01 2.566775169335966833e+00
1.554308617234469170e-01 3.097797888632733976e+00
1.557114228456913940e-01 2.594029331822246931e+00
1.559919839679358988e-01 2.556181402172037043e+00
1.562725450901803759e-01 3.049741878725728661e+00
1.565531062124248529e-01 2.387159754397409905e+00
1.568336673346693577e-01 3.482226561490679995e+00
1.571142284569138348e-01 2.859512039059880273e+00
1.573947895791583396e-01 4.364138551934622079e+00
1.576753507014028166e-01 3.052119725510133108e+00
1.579559118236473214e-01 3.773628843884629713e+00
1.582364729458917985e-01 3.826775830105600740e+00
1.585170340681362755e-01 3.618910210843822917e+00
1.587975951903807803e-01 2.665305349424034631e+00
1.590781563126252574e-01 3.678466510486557706e+00
1.593587174348697622e-01 5.971688754402324051e+00
1.596392785571142392e-01 2.946284517593928065e+00
1.599198396793587440e-01 3.616515678481289520e+00
1.602004008016032210e-01 2.552988909284965136e+00
1.604809619238476981e-01 3.780714520102754328e+00
1.607615230460922029e-01 2.632620425160059785e+00
1.610420841683366799e-01 2.826491359917930879e+00
1.613226452905811847e-01 3.035018860488179371e+00
1.616032064128256618e-01 3.857186931281897380e+00
1.618837675350701666e-01 3.319325189657148290e+00
1.621643286573146436e-01 3.307861129970955716e+00
1.624448897795591207e-01 3.590806850956797636e+00
1.627254509018036255e-01 3.677457972018837840e+00
1.630060120240481025e-01 2.575920203476440129e+00
1.632865731462926073e-01 3.962005017101976279e+00
1.635671342685370844e-01 3.585548968810224668e+00
1.638476953907815892e-01 4.265649939539059687e+00
1.641282565130260662e-01 2.878562980857043652e+00
1.644088176352705433e-01 2.270528439143442601e+00
1.646893787575150481e-01 2.415918930943939724e+00
1.649699398797595251e-01 3.067588277731921220e+00
1.652505010020040299e-01 3.300865485863981430e+00
1.655310621242485070e-01 3.150473544939267789e+00
1.658116232464930118e-01 3.626944989579722112e+00
1.660921843687374888e-01 2.629120676628258657e+00
1.663727454909819936e-01 3.483563675240124891e+00
1.666533066132264707e-01 2.873402551171332586e+00
1.669338677354709755e-01 4.084094595891813562e+00
1.672144288577154525e-01 3.055014890308545006e+00
1.674949899799599295e-01 4.095937646664051357e+00
1.677755511022044344e-01 3.702083923754541761e+00
1.680561122244489114e-01 3.329152880870462017e+00
1.683366733466934162e-01 3.105222336466663346e+00
1.686172344689378932e-01 4.070821791287370317e+00
1.688977955911823980e-01 2.435313573329970005e+00
1.691783567134268751e-01 3.134798639022393640e+00
1.694589178356713521e-01 4.048895274436465463e+00
1.697394789579158569e-01 4.240764516596075673e+00
1.700200400801603340e-01 4.678246118681647303e+00
1.703006012024048388e-01 4.448895093471054274e+00
1.705811623246493158e-01 4.182183510201943122e+00
1.708617234468938206e-01 4.487375957367323309e+00
1.711422845691382977e-01 5.895577419874255654e+00
1.714228456913827747e-01 5.742236239273956322e+00
1.717034068136272795e-01 5.429537806753893747e+00
1.719839679358717566e-01 3.458959553645459817e+00
1.722645290581162614e-01 4.328329016528803308e+00
1.725450901803607384e-01 5.114981053712686077e+00
1.728256513026052432e-01 3.510345722450769035e+00
1.731062124248497203e-01 3.927953957231348880e+00
1.733867735470941973e-01 3.961668493481240283e+00
1.736673346693387021e-01 3.985767167602571881e+00
1.739478957915831792e-01 3.443072712234001909e+00
1.742284569138276840e-01 5.920198817299429095e+00
1.745090180360721610e-01 4.581101722977835244e+00
1.747895791583166658e-01 3.468818618789688113e+00
1.750701402805611429e-01 4.555658643716856027e+00
1.753507014028056199e-01 8.524232118458810348e+00
1.756312625250501247e-01 4.373135260970975047e+00
1.759118236472946017e-01 4.471193143145876903e+00
1.761923847695391065e-01 6.364431862409709595e+00
1.764729458917835836e-01 5.359049211659632661e+00
1.767535070140280884e-01 4.706826058529433254e+00
1.770340681362725654e-01 5.663173400861029272e+00
1.773146292585170425e-01 3.912559706752890332e+00
1.775951903807615473e-01 7.661635238644628920e+00
1.778757515030060243e-01 4.169845448341360949e+00
1.781563126252505291e-01 4.522069188597979128e+00
1.784368737474950062e-01 5.893640200234836257e+00
1.787174348697395110e-01 4.081536558828616101e+00
1.789979959919839880e-01 4.577882315128874779e+00
1.792785571142284651e-01 5.091081984119438353e+00
1.795591182364729699e-01 4.937760911854625512e+00
1.798396793587174469e-01 4.787667326605590468e+00
1.801202404809619517e-01 6.292073049135431972e+00
1.804008016032064288e-01 4.107013648090808822e+00
1.806813627254509336e-01 4.193857041555902221e+00
1.809619238476954106e-01 5.501606325420999255e+00
1.812424849699398877e-01 5.102782864512747985e+00
1.815230460921843925e-01 4.690908618382010786e+00
1.818036072144288695e-01 9.996010529575931614e+00
1.820841683366733743e-01 3.201107788430610501e+00
1.823647294589178514e-01 4.240906571367041522e+00
1.826452905811623562e-01 5.244962562480608881e+00
1.829258517034068332e-01 3.145019944600215833e+00
1.832064128256513102e-01 5.764898918912034098e+00
1.834869739478958151e-01 4.867696315835057241e+00
1.837675350701402921e-01 7.606323004980961144e+00
1.840480961923847969e-01 7.990880694423954544e+00
1.843286573146292739e-01 7.746690666710572160e+00
1.846092184368737787e-01 4.840910358348418541e+00
1.848897795591182558e-01 5.204318853287536406e+00
1.851703406813627328e-01 5.110609415996504090e+00
1.854509018036072376e-01 6.947656077659694951e+00
1.857314629258517147e-01 9.048588232488770089e+00
1.860120240480962195e-01 7.290838868640607373e+00
1.862925851703406965e-01 5.685950343963720677e+00
1.865731462925852013e-01 9.007336892212565616e+00
1.868537074148296784e-01 1.192376492324635429e+01
1.871342685370741554e-01 7.479008579363139120e+00
1.874148296593186602e-01 1.104393680095236618e+01
1.876953907815631650e-01 6.876579591437324446e+00
1.879759519038076421e-01 6.249698637897663112e+00
1.882565130260521191e-01 1.099896471227513572e+01
1.885370741482966239e-01 1.301258241274334715e+01
1.888176352705411010e-01 1.048691750225562380e+01
1.890981963927855780e-01 5.199465384582890870e+00
1.893787575150300828e-01 9.980795028885763642e+00
1.896593186372745876e-01 1.675248622333127102e+01
1.899398797595190647e-01 7.327895714187315335e+00
1.902204408817635417e-01 7.146316975246128855e+00
1.905010020040080465e-01 7.127732694967477300e+00
1.907815631262525236e-01 6.637878872753429249e+00
1.910621242484970006e-01 6.894515425851619916e+00
1.913426853707415054e-01 7.242752557192261520e+00
1.916232464929860102e-01 5.752606567192127152e+00
1.919038076152304872e-01 7.441071753415590351e+00
1.921843687374749643e-01 7.270693411262134198e+00
1.924649298597194691e-01 6.463643552777282864e+00
1.927454909819639461e-01 8.024405417938186957e+00
1.930260521042084232e-01 1.270333435004830847e+01
1.933066132264529280e-01 8.179750247071625679e+00
1.935871743486974328e-01 8.457794737806171526e+00
1.938677354709419098e-01 1.063124313785107233e+01
1.941482965931863869e-01 7.256769620645166619e+00
1.944288577154308917e-01 8.462153194733723183e+00
1.947094188376753687e-01 6.676142964195391549e+00
1.949899799599198458e-01 8.034524833767022756e+00
1.952705410821643506e-01 6.425134740666177180e+00
1.955511022044088554e-01 6.930935328980140753e+00
1.958316633266533324e-01 1.042605179204753263e+01
1.961122244488978095e-01 9.441798174990948311e+00
1.963927855711423143e-01 9.034208022138383143e+00
1.966733466933867913e-01 8.030562999754438991e+00
1.969539078156312684e-01 6.837750412225377161e+00
1.972344689378757732e-01 8.123491488393046467e+00
1.975150300601202780e-01 9.329486822260644630e+00
1.977955911823647550e-01 7.514142230122531352e+00
1.980761523046092321e-01 6.154123074631921320e+00
1.983567134268537369e-01 9.925897234477019992e+00
1.986372745490982139e-01 9.197403265381318249e+00
1.989178356713427187e-01 1.335032794668636491e+01
1.991983967935871958e-01 1.071458156829361563e+01
