lambda suscetibilidade
1.400000000000000133e-01 2.178226661650453533e+00
1.402805611222444904e-01 2.190303446348578653e+00
1.405611222444889952e-01 1.940917355587390647e+00
1.408416833667334722e-01 2.345335018482576306e+00
1.411222444889779770e-01 2.386187766429477719e+00
1.414028056112224541e-01 2.529086281141765813e+00
1.416833667334669589e-01 2.362663546480828991e+00
1.419639278557114359e-01 2.770169643483884059e+00
1.422444889779559130e-01 2.295803356379171323e+00
1.425250501002004178e-01 2.439611366990206864e+00
1.428056112224448948e-01 2.426091141640521087e+00
1.430861723446893996e-01 2.922529691542963715e+00
1.433667334669338767e-01 2.472421955902479151e+00
1.436472945891783815e-01 2.905044706232088991e+00
1.439278557114228585e-01 2.753767169331929665e+00
1.442084168336673355e-01 2.730442841823164990e+00
1.444889779559118403e-01 2.574636458090462821e+00
1.447695390781563174e-01 2.419524427583697790e+00
1.450501002004008222e-01 2.704560851045962000e+00
1.453306613226452992e-01 2.646720483568539617e+00
1.456112224448898040e-01 3.035900309819464127e+00
1.458917835671342811e-01 2.805016416806129342e+00
1.461723446893787859e-01 2.921286935527071638e+00
1.464529058116232629e-01 3.521936768898597858e+00
1.467334669338677400e-01 2.532004584140500558e+00
1.470140280561122448e-01 2.715459737972280241e+00
1.472945891783567218e-01 3.048318332153494126e+00
1.475751503006012266e-01 3.082898961200327470e+00
1.478557114228457037e-01 3.241176222429841047e+00
1.481362725450902085e-01 4.072295195676312929e+00
1.484168336673346855e-01 3.478652726169837450e+00
1.486973947895791626e-01 3.813362895038972411e+00
1.489779559118236674e-01 2.804458644581069304e+00
1.492585170340681444e-01 2.724734075070627703e+00
1.495390781563126492e-01 3.048310877536894115e+00
1.498196392785571263e-01 3.174766633227347423e+00
1.501002004008016311e-01 2.705499635757292687e+00
1.503807615230461081e-01 3.413508077712943845e+00
1.506613226452905852e-01 3.099734194250194808e+00
1.509418837675350900e-01 2.931452120668534000e+00
1.512224448897795670e-01 3.627075715400028599e+00
1.515030060120240718e-01 3.202891452604096578e+00
1.517835671342685488e-01 2.929421635166999938e+00
1.520641282565130536e-01 3.294231753783174454e+00
1.523446893787575307e-01 4.002261439733630688e+00
1.526252505010020077e-01 4.272866350536847158e+00
1.529058116232465125e-01 3.687474815353856794e+00
1.531863727454909896e-01 3.193396424685101209e+00
1.534669338677354944e-01 3.903366271852492631e+00
1.537474949899799714e-01 3.354156606418968067e+00
1.540280561122244762e-01 3.229914435551895835e+00
1.543086172344689533e-01 3.532159375399439583e+00
1.545891783567134303e-01 3.308864897595042542e+00
1.548697394789579351e-01 3.305620082457462416e+00
1.551503006012024122e-01 2.718215813948408055e+00
1.554308617234469170e-01 2.678172080836944691e+00
1.557114228456913940e-01 3.524120124829399181e+00
1.559919839679358988e-01 5.434870601140009860e+00
1.562725450901803759e-01 3.130685132235022650e+00
1.565531062124248529e-01 2.637990373496057028e+00
1.568336673346693577e-01 2.375476324641327963e+00
1.571142284569138348e-01 4.527598122189452567e+00
1.573947895791583396e-01 2.349049567391448434e+00
1.576753507014028166e-01 2.141070366722920060e+00
1.579559118236473214e-01 2.729982032233396971e+00
1.582364729458917985e-01 3.262027754394762447e+00
1.585170340681362755e-01 5.029551695351780261e+00
1.587975951903807803e-01 3.726195949308991118e+00
1.590781563126252574e-01 3.682451563390963578e+00
1.593587174348697622e-01 3.919526571985614716e+00
1.596392785571142392e-01 3.911680667455486926e+00
1.599198396793587440e-01 3.512202589550594833e+00
1.602004008016032210e-01 3.570960926525207579e+00
1.604809619238476981e-01 4.538498920350737542e+00
1.607615230460922029e-01 4.702047568989644155e+00
1.610420841683366799e-01 4.817127984727668455e+00
1.613226452905811847e-01 5.113139133739092124e+00
1.616032064128256618e-01 4.864440393226107773e+00
1.618837675350701666e-01 5.261936192576368576e+00
1.621643286573146436e-01 5.094101332925248471e+00
1.624448897795591207e-01 4.745126038585093298e+00
1.627254509018036255e-01 4.934989206774170967e+00
1.630060120240481025e-01 5.562016987814980773e+00
1.632865731462926073e-01 4.421630120141207598e+00
1.635671342685370844e-01 7.022062613019823374e+00
1.638476953907815892e-01 3.990341717263111931e+00
1.641282565130260662e-01 5.672214017630851757e+00
1.644088176352705433e-01 4.538741734217034640e+00
1.646893787575150481e-01 4.422359461857618079e+00
1.649699398797595251e-01 4.202798636977323810e+00
1.652505010020040299e-01 4.203823813082332883e+00
1.655310621242485070e-01 3.731080706369918953e+00
1.658116232464930118e-01 4.412377223922110403e+00
1.660921843687374888e-01 6.945871834748984952e+00
1.663727454909819936e-01 5.722521789031929984e+00
1.666533066132264707e-01 4.254423773613357440e+00
1.669338677354709755e-01 3.960620177135546705e+00
1.672144288577154525e-01 4.646379162370173788e+00
1.674949899799599295e-01 4.089081920334469267e+00
1.677755511022044344e-01 4.120664292592461919e+00
1.680561122244489114e-01 4.729251610708903542e+00
1.683366733466934162e-01 4.466166350907427862e+00
1.686172344689378932e-01 4.815517342481263618e+00
1.688977955911823980e-01 3.926662076545560431e+00
1.691783567134268751e-01 3.788014116404566867e+00
1.694589178356713521e-01 3.414531454638603414e+00
1.697394789579158569e-01 6.403485971144069921e+00
1.700200400801603340e-01 3.973472529159255640e+00
1.703006012024048388e-01 4.776471561767106522e+00
1.705811623246493158e-01 4.210484144933638539e+00
1.708617234468938206e-01 6.143475442349949134e+00
1.711422845691382977e-01 3.375659084392408360e+00
1.714228456913827747e-01 4.188010950229987372e+00
1.717034068136272795e-01 5.133083296883291347e+00
1.719839679358717566e-01 4.155043255282883763e+00
1.722645290581162614e-01 5.030727453851030262e+00
1.725450901803607384e-01 3.225892589095919583e+00
1.728256513026052432e-01 4.341791738625455643e+00
1.731062124248497203e-01 3.623141606506015577e+00
1.733867735470941973e-01 3.793968255789244459e+00
1.736673346693387021e-01 4.425657080023833956e+00
1.739478957915831792e-01 4.404115594150859181e+00
1.742284569138276840e-01 4.435587598631303585e+00
1.745090180360721610e-01 3.782489196350609539e+00
1.747895791583166658e-01 5.377224766172488124e+00
1.750701402805611429e-01 6.117258700290327589e+00
1.753507014028056199e-01 3.971730637897596949e+00
1.756312625250501247e-01 4.622510439550595152e+00
1.759118236472946017e-01 5.238210591022251172e+00
1.761923847695391065e-01 2.879004825323130401e+00
1.764729458917835836e-01 4.466073411301753282e+00
1.767535070140280884e-01 4.301317665498952891e+00
1.770340681362725654e-01 5.719296827641946024e+00
1.773146292585170425e-01 5.045683829481521165e+00
1.775951903807615473e-01 4.098298063256252455e+00
1.778757515030060243e-01 5.154669575519062796e+00
1.781563126252505291e-01 4.080093356546035999e+00
1.784368737474950062e-01 5.137101349338621503e+00
1.787174348697395110e-01 4.716485930197680254e+00
1.789979959919839880e-01 6.045870279398843472e+00
1.792785571142284651e-01 7.571100194697258701e+00
1.795591182364729699e-01 5.386450070497454057e+00
1.798396793587174469e-01 5.717630799961295196e+00
1.801202404809619517e-01 4.107583957968267363e+00
1.804008016032064288e-01 6.483393102891238158e+00
1.806813627254509336e-01 3.609596138179006708e+00
1.809619238476954106e-01 3.587788340864035863e+00
1.812424849699398877e-01 4.550362869821544365e+00
1.815230460921843925e-01 3.869423493101197042e+00
1.818036072144288695e-01 3.484061727017553345e+00
1.820841683366733743e-01 3.967438537792014941e+00
1.823647294589178514e-01 4.571829574926429274e+00
1.826452905811623562e-01 6.773642977971022106e+00
1.829258517034068332e-01 5.807211543805340881e+00
1.832064128256513102e-01 5.060185420979926185e+00
1.834869739478958151e-01 7.003732979953512405e+00
1.837675350701402921e-01 4.876529015673744638e+00
1.840480961923847969e-01 4.325931843656022124e+00
1.843286573146292739e-01 4.507706183487673712e+00
1.846092184368737787e-01 4.477532939717434601e+00
1.848897795591182558e-01 5.086988124967635194e+00
1.851703406813627328e-01 7.386551843782823923e+00
1.854509018036072376e-01 8.983724199150927348e+00
1.857314629258517147e-01 4.890188851197128983e+00
1.860120240480962195e-01 4.781423711034709534e+00
1.862925851703406965e-01 6.404568642362663766e+00
1.865731462925852013e-01 5.179140650490754005e+00
1.868537074148296784e-01 5.396285047567956461e+00
1.871342685370741554e-01 5.981560246905298861e+00
1.874148296593186602e-01 5.541080990765883563e+00
1.876953907815631650e-01 6.464434812077831438e+00
1.879759519038076421e-01 8.777723144104060182e+00
1.882565130260521191e-01 5.041478696414325000e+00
1.885370741482966239e-01 9.643435899161655556e+00
1.888176352705411010e-01 8.825623250378297868e+00
1.890981963927855780e-01 6.159757318554116345e+00
1.893787575150300828e-01 7.805535786826670375e+00
1.896593186372745876e-01 6.741629574283507509e+00
1.899398797595190647e-01 6.496812626829933990e+00
1.902204408817635417e-01 6.703972458920390842e+00
1.905010020040080465e-01 7.669759385947695129e+00
1.907815631262525236e-01 1.032646875176208034e+01
1.910621242484970006e-01 7.445127016495256100e+00
1.913426853707415054e-01 7.748792581393361800e+00
1.916232464929860102e-01 8.875076521350541370e+00
1.919038076152304872e-01 6.841966424169198646e+00
1.921843687374749643e-01 7.472182623563746517e+00
1.924649298597194691e-01 6.780467445213162136e+00
1.927454909819639461e-01 1.195462860323424259e+01
1.930260521042084232e-01 8.327513187714295384e+00
1.933066132264529280e-01 1.138332696792763699e+01
1.935871743486974328e-01 8.849848999352383672e+00
1.938677354709419098e-01 7.957992978749657276e+00
1.941482965931863869e-01 1.008395011045738343e+01
1.944288577154308917e-01 7.652966459523273812e+00
1.947094188376753687e-01 6.075991613881353004e+00
1.949899799599198458e-01 8.364941255662420971e+00
1.952705410821643506e-01 1.120151015133590633e+01
1.955511022044088554e-01 8.467609105165148975e+00
1.958316633266533324e-01 8.258560308391276195e+00
1.961122244488978095e-01 7.119885068051331700e+00
1.963927855711423143e-01 8.639437772360626155e+00
1.966733466933867913e-01 9.785281679666029575e+00
1.969539078156312684e-01 8.338516800890976910e+00
1.972344689378757732e-01 9.841490447215281989e+00
1.975150300601202780e-01 1.137348236397016166e+01
1.977955911823647550e-01 7.286014138803014184e+00
1.980761523046092321e-01 7.778823851759406161e+00
1.983567134268537369e-01 7.029601911806395265e+00
1.986372745490982139e-01 8.363302447773973469e+00
1.989178356713427187e-01 9.215511030862584718e+00
1.991983967935871958e-01 9.692776277030617393e+00
1.994789579158317006e-01 1.021457408797910382e+01
1.997595190380761776e-01 1.149560490112010136e+01
2.000400801603206546e-01 7.969493944629888027e+00
2.003206412825651594e-01 8.727715861605394920e+00
2.006012024048096365e-01 7.771368542982568961e+00
2.008817635270541413e-01 9.820461100809771082e+00
2.011623246492986183e-01 8.299363011875847462e+00
2.014428857715431231e-01 1.049205378780811060e+01
2.017234468937876002e-01 8.735940767951591468e+00
2.020040080160320772e-01 9.495260188378153998e+00
2.022845691382765820e-01 1.618363068083850465e+01
2.025651302605210868e-01 6.827896379948868777e+00
2.028456913827655361e-01 1.141815989766206307e+01
2.031262525050100409e-01 1.119855110905123219e+01
2.034068136272545457e-01 1.312249152751439496e+01
