lambda suscetibilidade
1.400000000000000133e-01 1.932631022307189417e+00
1.402805611222444904e-01 1.969207550137104024e+00
1.405611222444889952e-01 1.822067254598102704e+00
1.408416833667334722e-01 2.002110149928121530e+00
1.411222444889779770e-01 2.073850725355410152e+00
1.414028056112224541e-01 2.418961312203045999e+00
1.416833667334669589e-01 2.565431324746632935e+00
1.419639278557114359e-01 2.501949543168053403e+00
1.422444889779559130e-01 2.968770566665602573e+00
1.425250501002004178e-01 2.283116241000481939e+00
1.428056112224448948e-01 2.607344353822101723e+00
1.430861723446893996e-01 2.453694456042091687e+00
1.433667334669338767e-01 2.998308510892238044e+00
1.436472945891783815e-01 2.585575794048989628e+00
1.439278557114228585e-01 2.889938228566826250e+00
1.442084168336673355e-01 3.039195050014197097e+00
1.444889779559118403e-01 3.531327145242156185e+00
1.447695390781563174e-01 3.685296713548225078e+00
1.450501002004008222e-01 3.212436497167908911e+00
1.453306613226452992e-01 2.360606646606271841e+00
1.456112224448898040e-01 2.225756886632902720e+00
1.458917835671342811e-01 2.835137453595373724e+00
1.461723446893787859e-01 3.515488827971557040e+00
1.464529058116232629e-01 3.026630889701681149e+00
1.467334669338677400e-01 2.648155486780118473e+00
1.470140280561122448e-01 2.534681873291941390e+00
1.472945891783567218e-01 3.436227304786516168e+00
1.475751503006012266e-01 3.359428530984821748e+00
1.478557114228457037e-01 2.968300226297293509e+00
1.481362725450902085e-01 2.864640178771162837e+00
1.484168336673346855e-01 3.654999311926895533e+00
1.486973947895791626e-01 2.952209712141889764e+00
1.489779559118236674e-01 3.451422835663053412e+00
1.492585170340681444e-01 3.193496440911559819e+00
1.495390781563126492e-01 2.231464939583444274e+00
1.498196392785571263e-01 2.960242513557004074e+00
1.501002004008016311e-01 3.094649152987749119e+00
1.503807615230461081e-01 3.815482505849137063e+00
1.506613226452905852e-01 3.583407998384989135e+00
1.509418837675350900e-01 4.826683695851173184e+00
1.512224448897795670e-01 3.248036035747380090e+00
1.515030060120240718e-01 4.101234005879571320e+00
1.517835671342685488e-01 3.087735564492648521e+00
1.520641282565130536e-01 3.768940429165765327e+00
1.523446893787575307e-01 3.542169400778263366e+00
1.526252505010020077e-01 3.032300172610082445e+00
1.529058116232465125e-01 3.082344364266135894e+00
1.531863727454909896e-01 3.096912355544136464e+00
1.534669338677354944e-01 2.663174412861848861e+00
1.537474949899799714e-01 2.693950881433766931e+00
1.540280561122244762e-01 2.792064138368504977e+00
1.543086172344689533e-01 4.805790660182297280e+00
1.545891783567134303e-01 3.140168074324559022e+00
1.548697394789579351e-01 2.715766367043182861e+00
1.551503006012024122e-01 3.380743168826939815e+00
1.554308617234469170e-01 3.094246721622310403e+00
1.557114228456913940e-01 2.704672772476795384e+00
1.559919839679358988e-01 2.826154087335666976e+00
1.562725450901803759e-01 2.836337358766153116e+00
1.565531062124248529e-01 2.576706790991993845e+00
1.568336673346693577e-01 3.076497315948170108e+00
1.571142284569138348e-01 2.941320759453561084e+00
1.573947895791583396e-01 3.356944226797678343e+00
1.576753507014028166e-01 3.010716086710897965e+00
1.579559118236473214e-01 2.354966203687790749e+00
1.582364729458917985e-01 2.894340609648005103e+00
1.585170340681362755e-01 3.129720109650563575e+00
1.587975951903807803e-01 3.163403851376572984e+00
1.590781563126252574e-01 3.554291905535810425e+00
1.593587174348697622e-01 2.969587400949121658e+00
1.596392785571142392e-01 3.891728666398915237e+00
