lambda suscetibilidade
1.400000000000000133e-01 2.183272361219735114e+00
1.402805611222444904e-01 2.092788955930638739e+00
1.405611222444889952e-01 2.009844877138294184e+00
1.408416833667334722e-01 2.261070990752117371e+00
1.411222444889779770e-01 2.303561319356214110e+00
1.414028056112224541e-01 2.605315704193510218e+00
1.416833667334669589e-01 2.348701602032682523e+00
1.419639278557114359e-01 2.122906766565135772e+00
1.422444889779559130e-01 2.750402022399317303e+00
1.425250501002004178e-01 2.125262971500288867e+00
1.428056112224448948e-01 2.407291229104596475e+00
1.430861723446893996e-01 2.575458035749883745e+00
1.433667334669338767e-01 2.724405893785776023e+00
1.436472945891783815e-01 2.236518262508520039e+00
1.439278557114228585e-01 2.361029624011813599e+00
1.442084168336673355e-01 2.941692937153678855e+00
1.444889779559118403e-01 2.603496457995247315e+00
1.447695390781563174e-01 3.038821501174039152e+00
1.450501002004008222e-01 2.694922281572748712e+00
1.453306613226452992e-01 2.859553996417034671e+00
1.456112224448898040e-01 3.670588762121008042e+00
1.458917835671342811e-01 3.050771579959233204e+00
1.461723446893787859e-01 3.060933543865634654e+00
1.464529058116232629e-01 2.545042789008660211e+00
1.467334669338677400e-01 2.099318925986709772e+00
1.470140280561122448e-01 2.501092864722803011e+00
1.472945891783567218e-01 2.380610720696225702e+00
1.475751503006012266e-01 2.411481199904767170e+00
1.478557114228457037e-01 3.009717944468496054e+00
1.481362725450902085e-01 2.487887221474724075e+00
1.484168336673346855e-01 2.930849708114119156e+00
1.486973947895791626e-01 2.815460002841658760e+00
1.489779559118236674e-01 2.052963398175137844e+00
1.492585170340681444e-01 2.680981647606161644e+00
1.495390781563126492e-01 3.208720308295273327e+00
1.498196392785571263e-01 2.589561843047432532e+00
1.501002004008016311e-01 2.978674217826279946e+00
1.503807615230461081e-01 2.559429529985866036e+00
1.506613226452905852e-01 2.905141045436547387e+00
1.509418837675350900e-01 3.283121567710567401e+00
1.512224448897795670e-01 2.452726432319853878e+00
1.515030060120240718e-01 2.188425493307400327e+00
1.517835671342685488e-01 1.964884947448792607e+00
1.520641282565130536e-01 2.575824793080879083e+00
1.523446893787575307e-01 2.459125843094108532e+00
1.526252505010020077e-01 3.242587278439999832e+00
1.529058116232465125e-01 2.454769101140784393e+00
1.531863727454909896e-01 2.265351609884695083e+00
1.534669338677354944e-01 2.541333040114429398e+00
1.537474949899799714e-01 2.230632218349245299e+00
1.540280561122244762e-01 2.347733433189594709e+00
1.543086172344689533e-01 2.466848815899518765e+00
1.545891783567134303e-01 3.172800521244714123e+00
1.548697394789579351e-01 2.623905192314937906e+00
1.551503006012024122e-01 1.845738969825880371e+00
1.554308617234469170e-01 2.872335091914563598e+00
1.557114228456913940e-01 2.593991811039686013e+00
1.559919839679358988e-01 2.458439612691948994e+00
1.562725450901803759e-01 3.611036620677907649e+00
1.565531062124248529e-01 3.235880422315292826e+00
1.568336673346693577e-01 2.779875040291226007e+00
1.571142284569138348e-01 5.118566532710773664e+00
1.573947895791583396e-01 4.156905604280241029e+00
1.576753507014028166e-01 3.175548009450829490e+00
1.579559118236473214e-01 3.694191907993506163e+00
1.582364729458917985e-01 2.641970858232676189e+00
1.585170340681362755e-01 2.801394771794524896e+00
1.587975951903807803e-01 2.664815998177187062e+00
1.590781563126252574e-01 3.694083537223875613e+00
1.593587174348697622e-01 4.386680715208874481e+00
1.596392785571142392e-01 3.966817840490373115e+00
1.599198396793587440e-01 3.131082643610394456e+00
1.602004008016032210e-01 2.860879070937118129e+00
1.604809619238476981e-01 3.510245068365812404e+00
1.607615230460922029e-01 3.483115835526314097e+00
1.610420841683366799e-01 3.762881693553116413e+00
1.613226452905811847e-01 2.513091919897658233e+00
1.616032064128256618e-01 2.723931458548332074e+00
1.618837675350701666e-01 4.540237700936187615e+00
1.621643286573146436e-01 4.237089327497213453e+00
1.624448897795591207e-01 3.525334812475603652e+00
1.627254509018036255e-01 5.226563225334626139e+00
1.630060120240481025e-01 3.430027515879030986e+00
1.632865731462926073e-01 4.549335782657651706e+00
1.635671342685370844e-01 3.656437438029084941e+00
1.638476953907815892e-01 3.469878021665280254e+00
1.641282565130260662e-01 2.750982400284444296e+00
1.644088176352705433e-01 3.012560292570978682e+00
1.646893787575150481e-01 3.114095311460413740e+00
1.649699398797595251e-01 3.891680890800502723e+00
1.652505010020040299e-01 3.445977272407690251e+00
1.655310621242485070e-01 4.737673106735431183e+00
1.658116232464930118e-01 6.888188211014755424e+00
1.660921843687374888e-01 5.461678252802307121e+00
1.663727454909819936e-01 3.381445345612447806e+00
1.666533066132264707e-01 4.089260452930628453e+00
1.669338677354709755e-01 3.340894219221086647e+00
1.672144288577154525e-01 3.252711481247073433e+00
1.674949899799599295e-01 5.026759415004184106e+00
1.677755511022044344e-01 5.397228761777049577e+00
1.680561122244489114e-01 4.551989028536926440e+00
1.683366733466934162e-01 4.584076316551197294e+00
1.686172344689378932e-01 3.737887414606969827e+00
1.688977955911823980e-01 3.715765433191946965e+00
1.691783567134268751e-01 3.458615955693776556e+00
1.694589178356713521e-01 3.913411542360236250e+00
1.697394789579158569e-01 3.063674973759252573e+00
1.700200400801603340e-01 2.964116390204608820e+00
1.703006012024048388e-01 4.944184741492624546e+00
1.705811623246493158e-01 4.728799837563433250e+00
1.708617234468938206e-01 3.922854119847133614e+00
1.711422845691382977e-01 6.086406165543500002e+00
1.714228456913827747e-01 4.447585693431083342e+00
1.717034068136272795e-01 2.836336840298568251e+00
1.719839679358717566e-01 2.885526228645534097e+00
1.722645290581162614e-01 4.244864071763571722e+00
1.725450901803607384e-01 5.063126828020251935e+00
1.728256513026052432e-01 4.304273094529898813e+00
1.731062124248497203e-01 4.634111613874718927e+00
1.733867735470941973e-01 4.058153683433213033e+00
1.736673346693387021e-01 3.509033713139515065e+00
1.739478957915831792e-01 3.794738252615847518e+00
1.742284569138276840e-01 3.961420422606487524e+00
1.745090180360721610e-01 5.013128712699758793e+00
1.747895791583166658e-01 7.386817171650802649e+00
1.750701402805611429e-01 6.668640675510335569e+00
1.753507014028056199e-01 5.207068153563104929e+00
1.756312625250501247e-01 3.716346724454356654e+00
1.759118236472946017e-01 4.866807792903088625e+00
1.761923847695391065e-01 7.540163305104080393e+00
1.764729458917835836e-01 4.957102171814187663e+00
1.767535070140280884e-01 5.960914309740093842e+00
1.770340681362725654e-01 6.629792275852103067e+00
1.773146292585170425e-01 6.109002982224885692e+00
1.775951903807615473e-01 5.233390690674154300e+00
1.778757515030060243e-01 4.547117671366455838e+00
1.781563126252505291e-01 4.094701499577283244e+00
1.784368737474950062e-01 4.487750259586045232e+00
1.787174348697395110e-01 5.719204968188631888e+00
1.789979959919839880e-01 4.607717780432783350e+00
1.792785571142284651e-01 3.245604001992933529e+00
1.795591182364729699e-01 5.326909094333242223e+00
1.798396793587174469e-01 7.474003289934807448e+00
1.801202404809619517e-01 7.383172265420619773e+00
1.804008016032064288e-01 4.167434791244549075e+00
1.806813627254509336e-01 5.835436961621522478e+00
1.809619238476954106e-01 5.381263769334477587e+00
1.812424849699398877e-01 7.774813924754111483e+00
1.815230460921843925e-01 7.145029221270907449e+00
1.818036072144288695e-01 9.204567550758588013e+00
1.820841683366733743e-01 1.022224654659368603e+01
1.823647294589178514e-01 5.793610507552523714e+00
1.826452905811623562e-01 8.113811454155628766e+00
1.829258517034068332e-01 4.407449807616521831e+00
1.832064128256513102e-01 7.836802390147146191e+00
1.834869739478958151e-01 5.909569368962509728e+00
1.837675350701402921e-01 4.756367280154115029e+00
1.840480961923847969e-01 5.871723895925567760e+00
1.843286573146292739e-01 4.083494612939043478e+00
1.846092184368737787e-01 5.878368775600369744e+00
1.848897795591182558e-01 4.269688441379944521e+00
1.851703406813627328e-01 8.597787132856772985e+00
1.854509018036072376e-01 7.095481804234916368e+00
1.857314629258517147e-01 7.843345246316514086e+00
1.860120240480962195e-01 6.661238896254231712e+00
1.862925851703406965e-01 5.849657891979992641e+00
1.865731462925852013e-01 6.771149424873630807e+00
1.868537074148296784e-01 5.579279240010147412e+00
1.871342685370741554e-01 8.305393526045119046e+00
1.874148296593186602e-01 7.219140410482269843e+00
1.876953907815631650e-01 5.009783707820712806e+00
1.879759519038076421e-01 5.956921288640192991e+00
1.882565130260521191e-01 4.034934145938866124e+00
1.885370741482966239e-01 6.300320074351584587e+00
1.888176352705411010e-01 4.073018438887263670e+00
1.890981963927855780e-01 8.417992686316868145e+00
1.893787575150300828e-01 5.122318188524339178e+00
1.896593186372745876e-01 5.399783184212073373e+00
1.899398797595190647e-01 5.102518949590264974e+00
1.902204408817635417e-01 7.078615980970806909e+00
1.905010020040080465e-01 5.863187478108699224e+00
1.907815631262525236e-01 5.264042291156191489e+00
1.910621242484970006e-01 4.808179908511847067e+00
1.913426853707415054e-01 8.734667468624021325e+00
1.916232464929860102e-01 5.483097417806155782e+00
1.919038076152304872e-01 4.709586082204410218e+00
1.921843687374749643e-01 8.806394977119767375e+00
1.924649298597194691e-01 7.699001305803206741e+00
1.927454909819639461e-01 5.930045382798710740e+00
1.930260521042084232e-01 7.295773544358006291e+00
1.933066132264529280e-01 1.094375250571393288e+01
1.935871743486974328e-01 6.280604829532464350e+00
1.938677354709419098e-01 5.939591987316851451e+00
1.941482965931863869e-01 7.302279773482827530e+00
